,ID,technology,country,Country Name,Exponential Fit,exponential goodness,Logistic Fit,Logistic Inflection Year,logistic goodness,Gompertz Fit,gompertz goodness,Delta T Wilson Fit,Vintage,Number of Points,lendingrate_Average,rdspending_Average,goodsservices_Average,oresmetals_Average,fdi_Average,hightech_Average,polity_Average,direction_scitech_Average,easier_scitech_Average,gdppc_Average,Capacity_Average,gee_Average,regime_Mode,IncomeGroup_Mode,WTO_Mode,OECD_Mode,IncomeGroup,dem,Log_GDPavg,Material Use Numerical,Final Material Use,Year of Invention,Year of First Embodiment of Tech,FirstCommercialYr,Need for Customization,Complexity,Type of Adopter,Granularity Numerical,Granularity,Average lifetime,Technology Lifetime,Strict replacement,Broad replacement,Feedstock,Category Type,Patent Category Name,Metric,Unit
25,Telegraph Traffic_Total Number_NL,Telegraph Traffic,NLD,Netherlands,0.09628924,-6.81E+140,0.052924092,1928.696565,0.997823494,0.02841215,0.998284572,83.03305739,1852,139,,,,,,,-0.474358974,,,5332.525641,,,,,,,err,Not Democracy,8.581580259,0.029545188,Low Material Use,1837,1837,1845,Customized [3],Complex [3],Both [3],858000,Low,,Decades,No,Yes,No,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions)
26,Postal Traffic_Total Number_FR,Postal Traffic,FRA,France,0.053542851,-3.95E+64,0.030995774,1993.13792,0.993720152,0.007432445,0.996133016,141.7757516,1830,164,,,18.21912849,5.413585172,3263029560,,5.369863014,,,7986.416026,1.586882353,,1,,,,H,Not Democracy,8.985497381,,Medium Material Use,,,1830,Customized [3],Complex [3],Both [3],Expensive,Low,,Years,No,No,Yes,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions)
27,Beer_Annual Production_FR,Beer Production,FRA,France,err,,0.028141063,1893.987995,0.645904543,0.017439395,0.640997835,156.1578973,1835,158,,,,,,,0.571428571,,,3000.883333,,,,,,,err,Not Democracy,8.006661969,0.156463688,Medium Material Use,,,n/d,Mass-customized [2],Design-Intensive [2],Individuals [2],Expensive,Low,14,Years,No,No,No,Food and Health,Human Necessities,Annual Production,thousand hectolitres
28,Railroad_Total Length_CA,Railroad,CAN,Canada,0.049080744,-6.66E+54,0.090953114,1901.180782,0.983248292,0.061333831,0.97505476,48.31554355,1836,158,,,,,,,6,,,3318.171429,,,,,,,err,Democracy,8.107169136,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
29,Radio_Total Number_DK,Radio,DNK,Denmark,0.091648472,-2.94E+132,0.083221653,1989.508876,0.998536186,0.02576582,0.999767492,52.80415585,1938,62,,,31.30862772,2.798579507,204706309.9,,10,,,17260.49057,2.293129032,,0,,,,H,Democracy,9.756175386,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
30,Radio_Total Number_US,Radio,USA,United States,0.100252051,-4.23E+147,0.092224771,1986.858928,0.998666768,0.031816631,0.999902935,47.64933654,1938,62,8.290416604,,8.448311383,6.521652508,-207555555.6,,9.14,,,21346.43908,1.403535714,,2,,,,err,Democracy,9.968640217,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
31,Railroad_Total Length_UY,Railroad,URY,Uruguay,0.038525379,-2.34E+36,0.102611776,1896.394609,0.985676228,0.070452261,0.988412372,42.8259729,1869,131,,,,,,,-3,,,3821.888889,,,,,,,err,Not Democracy,8.248500053,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
32,Radio_Total Number_TR,Radio,TUR,Turkey,0.140492685,-3.86E+216,0.093068515,1996.503937,0.998418813,0.022393186,0.999598286,47.21735531,1938,62,,0.47164,12.7403197,4.19206942,-307458333.3,,4.559322034,,,4806.790275,0.853052632,-0.076127216,0,,,,UM,Not Democracy,8.477784838,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
33,Radio_Total Number_HT,Radio,HTI,Haiti,0.133411911,-1.79E+205,0.084452108,2015.765429,0.997286178,0.008402709,0.997848491,52.03480713,1938,62,16.55823374,,28.20996334,0.881261527,-33843523.66,,-2.650793651,6.017034,5.9163327,1672.585853,-1.137305357,-1.538680481,3,,,,L,Not Democracy,7.422126123,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
34,Radio_Total Number_PY,Radio,PRY,Paraguay,0.124491635,-1.67E+187,0.068484434,2041.695794,0.996008308,0.00267435,0.996135157,64.16712404,1938,62,28.64579521,0.084716,30.07670515,1.130190249,-152978831.4,8.0849604,-2.111111111,,,4364.88237,-0.251401321,-0.867629441,4,,,,UM,Not Democracy,8.381346519,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
35,Radio_Total Number_LU,Radio,LUX,Luxembourg,0.091147585,-4.07E+130,0.083836736,1987.126474,0.997467792,0.028780298,0.999574258,52.41674883,1938,62,,,81.79494333,,,,10,,,20082.73684,,,0,,,,err,Democracy,9.907615861,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
36,Railroad_Total Length_BR,Railroad,BRA,Brazil,0.052987857,-3.57E+63,0.096993757,1901.539064,0.971244156,0.067189588,0.965149919,45.30651532,1854,146,,,,,,,-5.142857143,,,1012.959184,,,,,,,err,Not Democracy,6.920631211,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
37,Radio_Total Number_TH,Radio,THA,Thailand,0.148943531,-2.58E+233,0.117452293,1994.174775,0.998252814,0.032972453,0.999586613,37.41475828,1938,62,13.52960537,,25.98575329,3.458893724,-687901942,,-1.735849057,,,3503.316857,0.003471429,,4,,,,LM,Not Democracy,8.161465472,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
38,Railroad_Total Length_EC,Railroad,ECU,Ecuador,0.025603137,-1.3178E+14,0.121125539,1912.671648,0.962071553,0.090469656,0.958088582,36.28012046,1876,124,,,,,,,-1.684210526,,,1217.6875,,,,,,,err,Not Democracy,7.104708847,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
39,Radio_Total Number_IR,Radio,IRN,Iran,0.158727122,-4.88E+248,0.112572966,1996.917779,0.999491764,0.025847423,0.99993811,39.03645185,1938,62,,,19.8493545,2.029822813,-24500000,,-6.1,,,5751.31679,0.032983684,-0.6000683,5,,,,LM,Not Democracy,8.657184114,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
40,Gold_Annual Production_AU,Gold,AUS,Australia,0.021410521,-826391.9402,0.472262434,1988.061338,0.53085472,0.332410517,0.528843273,9.305099966,1851,154,8.820043121,,14.65609228,2.033159323,,,10,,,10262.76087,1.953413793,,0,,,,err,Democracy,9.236277173,2.16E-05,Low Material Use,,,1851,Customized [3],Complex [3],Firms [1],Expensive,Low,20,Years,No,No,No,Materials,Fixed Constructions,Annual Production,metric tons
41,Radio_Total Number_AR,Radio,ARG,Argentina,0.102157981,-1.58E+151,0.076851616,2004.153992,0.996277996,0.013976228,0.997385909,57.18095992,1938,62,,0.418662222,7.817667229,4.883420474,-2851350802,,0.661290323,,,10555.08103,0.3833024,0.037079093,2,,,,UM,Not Democracy,9.264362637,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
42,Telegraph Traffic_Total Number_BE,Telegraph Traffic,BEL,Belgium,0.061200374,-1.10E+78,0.057615959,1919.298641,0.99378682,0.033923559,0.998154151,76.27138787,1853,140,,,,,,,4.333333333,,,5027.656716,,,,,,,err,Not Democracy,8.522709293,0.029545188,Low Material Use,1837,1837,1845,Customized [3],Complex [3],Both [3],858000,Low,,Decades,No,Yes,No,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions)
43,Railroad_Total Length_AT,Railroad,AUT,Austria,0.039509392,-2.18E+39,0.244845167,1866.208192,0.366809231,0.202389127,0.360654371,17.94786969,1837,141,,,,,,,-7.066666667,,,2626.333333,,,,,,,err,Not Democracy,7.873343983,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
44,Railroad_Total Length_PY,Railroad,PRY,Paraguay,0.02499991,-6.06001E+14,0.079628808,1897.360627,0.944341952,0.054620188,0.923162819,55.18667483,1861,137,,,,,,,-4.916666667,,,,,,,,,,err,Not Democracy,,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
45,Railroad_Total Length_MX,Railroad,MEX,Mexico,0.051181512,-8.03E+59,0.102452204,1897.798252,0.985756072,0.064229147,0.990881339,42.89267546,1850,133,,,,,,,-6,,,1496,,,,,,,err,Not Democracy,7.310550159,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
46,Radio_Total Number_CN,Radio,CHN,China,0.175446092,-6.06E+280,0.122283726,2003.180076,0.99815777,0.015897308,0.997941145,35.93650015,1946,54,7.905,0.82627625,8.742799314,4.626106937,-20093678315,,-7.413793103,,,2244.73265,0.120557273,-0.198549012,3,,,,LM,Not Democracy,7.716341706,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
47,Radio_Total Number_ES,Radio,ESP,Spain,0.12984434,-3.66E+199,0.10366562,1987.283109,0.998072162,0.037806243,0.999866961,42.39061281,1946,54,,,16.912025,6.363024335,-1464458083,,-2.743589744,,,8736.404762,0.9118,,4,,,,err,Not Democracy,9.07525403,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
48,Postal Traffic_Total Number_BR,Postal Traffic,BRA,Brazil,0.085641827,-2.29E+122,0.08114477,1967.08925,0.990602713,0.040455155,0.993224296,54.15566686,1840,159,,,6.216751238,6.503251767,,,-3.508196721,,,1459.288136,0.11287375,,2,,,,err,Not Democracy,7.285704017,,Medium Material Use,,,1830,Customized [3],Complex [3],Both [3],Expensive,Low,,Years,No,No,Yes,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions)
49,Radio_Total Number_NL,Radio,NLD,Netherlands,0.093798522,-5.22E+134,0.074888927,1990.441344,0.996417296,0.024373958,0.998554106,58.67955824,1946,54,,,46.29290827,4.286225428,2205352216,,10,,,17336.6,1.812516129,,0,,,,H,Democracy,9.760575153,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
50,Railroad_Total Length_CO,Railroad,COL,Colombia,0.034486815,-1.29E+26,-6.516570643,2007.538175,-2.22E-16,-0.481823151,-2.22E-16,-0.67434996,1871,126,30.5339193,0.185852727,15.71932604,3.075609609,-1360326162,3.540328,2.768115942,6.1976857,7.350083,3702.264556,0.038972306,-0.25585893,2,,,,UM,Not Democracy,8.216699954,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
51,Railroad_Total Length_RO,Railroad,ROU,Romania,0.030392156,-6.16E+23,0.094134073,1916.667031,0.942508617,0.054529331,0.925276365,46.68287509,1870,112,,,,,,,-6.340425532,,,563.6,,,,,,,err,Not Democracy,6.33434478,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
52,Postal Traffic_Total Number_GB,Postal Traffic,GBR,United Kingdom,0.060022185,-4.47E+75,0.035531862,1974.067735,0.998476973,0.010247376,0.999609184,123.6762969,1839,155,7.1875,,23.7165878,9.555758154,695379176.1,,7.117647059,,,8409.941176,1.21942,,0,,,,err,Democracy,9.037169758,,Medium Material Use,,,1830,Customized [3],Complex [3],Both [3],Expensive,Low,,Years,No,No,Yes,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions)
53,Radio_Total Number_CO,Radio,COL,Colombia,0.110904926,-1.09E+166,0.070743251,2172.554403,0.9837152,err,0.999609184,62.11828076,1938,62,23.48618004,0.227434348,16.93957127,2.764857833,-3145733233,7.175491973,5.728395062,6.0643137,6.900490667,6635.868879,0.106402554,-0.144429559,2,,,,UM,Not Democracy,8.800244892,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
54,Telegraph Traffic_Total Number_ES,Telegraph Traffic,ESP,Spain,0.095234565,-2.70E+137,0.047461282,1960.5383,0.998440185,0.017765611,0.997699306,92.59019079,1855,139,,,,,,,-0.01980198,,,2973.869159,0.5672,,4,,,,err,Not Democracy,7.997619131,0.029545188,Low Material Use,1837,1837,1845,Customized [3],Complex [3],Both [3],858000,Low,,Decades,No,Yes,No,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions)
55,Railroad_Total Length_BG,Railroad,BGR,Bulgaria,0.022636868,-16202259.2,0.056363354,1918.633891,0.988253316,0.034553252,0.98877322,77.96642406,1870,111,,,,,,,-6.775,,,1676.833333,,,,,,,err,Not Democracy,7.424662373,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers
56,Radio_Total Number_CL,Radio,CHL,Chile,0.104501488,-2.17E+153,0.082324358,1999.706719,0.999333487,0.01618209,0.999378815,53.37969512,1946,54,25.07169231,,21.54174868,1.840344192,-1127698862,,1.890909091,,,8590.471538,0.810812195,1.1469906,2,,,,UM,Not Democracy,9.058408907,0.027719511,Low Material Use,1888,1906,1910,Standardized [1],Simple [1],Individuals [2],139.7624039,High,10,Years,No,Yes,No,Appliances,Human Necessities,Cumulative Calculation,-
57,Zinc_Annual Production_US,Zinc,USA,United States of America,0.042450404,-5.79E+43,0.140072472,1911.214469,0.595846844,0.112838063,0.593031587,31.37268219,1860,144,,,,,,,8.595744681,,,6608.684767,,,,,,,err,Democracy,8.796139937,0.478927203,Medium Material Use,,,1743,Customized [3],Complex [3],Firms [1],Expensive,Low,,Decades,No,No,No,Materials,Fixed Constructions,Annual Production,thousand metric tons
