,ID,technology,country,Country Name,Exponential Fit,exponential goodness,Logistic Fit,Logistic Inflection Year,logistic goodness,Gompertz Fit,gompertz goodness,Delta T Wilson Fit,Vintage,Number of Points,lendingrate_Average,rdspending_Average,goodsservices_Average,oresmetals_Average,fdi_Average,hightech_Average,polity_Average,direction_scitech_Average,easier_scitech_Average,gdppc_Average,Capacity_Average,gee_Average,regime_Mode,IncomeGroup_Mode,WTO_Mode,OECD_Mode,IncomeGroup,dem,Log_GDPavg,Material Use Numerical,Final Material Use,Year of Invention,Year of First Embodiment of Tech,FirstCommercialYr,Need for Customization,Complexity,Type of Adopter,Granularity Numerical,Granularity,Average lifetime,Technology Lifetime,Strict replacement,Broad replacement,Feedstock,Category Type,Patent Category Name,Metric,Unit,First Year of Data,Country_Timing
18,Railroad_Total Length_DE,Railroad,DEU,Germany,0.05316454780481245,-3.557645709360076e+61,-0.6002267830770498,2059.246419905924,-2.220446049250313e-16,0.10117644439828583,0.747260487805362,-7.321314674004364,1835,155,,2.6504792000000004,28.200487,5.787641409836064,24001779463.93347,16.455023,-0.3208955223880597,7.287553699999999,5.543578,12814.329978698226,1.9883076923076923,1.5736519173913046,0.0,,,,H,Not Democracy,9.458319353287589,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55.0,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers,1835,Late
27,Beer_Annual Production_FR,Beer Production,FRA,France,err,,0.02814106254682355,1893.987994768555,0.645904542808361,0.017439394644218717,0.6409978348004717,156.15789728481545,1835,158,,,,,,,0.5714285714285714,,,3000.883333333333,,,,,,,err,Not Democracy,8.006661968754432,0.156463688,Medium Material Use,,,n/d,Mass-customized [2],Design-Intensive [2],Individuals [2],Expensive,Low,14.0,Years,No,No,No,Food and Health,Human Necessities,Annual Production,thousand hectolitres,1835,Late
20,Railroad_Total Length_BE,Railroad,BEL,Belgium,0.03252364110168458,-2.6511624975531287e+26,0.11440403768401577,1864.025749003886,0.9299495053026562,0.08037863785746091,0.9222107396943332,38.41166136819329,1835,154,,,,,,,0.8,,,3303.4736842105262,,,,,,,err,Not Democracy,8.102729825405376,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55.0,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers,1835,Late
28,Railroad_Total Length_CA,Railroad,CAN,Canada,0.04908074402507393,-6.65672796937193e+54,0.09095311429992081,1901.1807819863257,0.9832482919709276,0.0613338306462554,0.9750547596413592,48.31554354677293,1836,158,,,,,,,6.0,,,3318.1714285714284,,,,,,,err,Democracy,8.10716913565185,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55.0,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers,1836,Late
448,Steamships_Total Number_AT,Steamships,AUT,Austria,0.09491922561785326,-1.513555003077563e+129,0.054455319558683185,1921.700293142295,0.9957450593569046,0.010201337822405293,0.9973604713114104,80.69825299504136,1837,76,,,,,,,-4.666666666666667,,,4033.160714285714,,,,,,,err,Not Democracy,8.302305643889877,3.986446951,High Material Use,1707,1776,1807,Standardized [1],Design-Intensive [2],Firms [1],1183350,Low,30.0,Decades,Yes,Yes,Yes,Transportation,Performing Operations; Transporting,Cumulative Calculation,-,1837,Late
143,Railroad_Total Length_CU,Railroad,CUB,Cuba,0.03042470936872468,-5.376234692635569e+21,0.0936828013683598,1901.0186892120873,0.973390774353594,0.07006628284182863,0.9644569468610926,46.90774710497299,1837,118,,,,,,,,,,1151.8,,,,,,,err,,7.049081215072572,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55.0,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers,1837,Late
43,Railroad_Total Length_AT,Railroad,AUT,Austria,0.03950939205130799,-2.177051275135693e+39,0.24484516714306173,1866.2081923629216,0.3668092305753906,0.20238912740301893,0.3606543709928642,17.94786969229736,1837,141,,,,,,,-7.066666666666666,,,2626.3333333333335,,,,,,,err,Not Democracy,7.873343982577579,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55.0,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers,1837,Late
121,Steamships_Total Number_BE,Steamships,BEL,Belgium,0.05274497389844256,-2.2389082122372634e+63,0.06378056942957572,1919.3275634924753,0.9970497069316768,0.034543111291231256,0.993178965803648,68.89949704078194,1837,140,,,,,,,3.292682926829268,,,4824.7027027027025,,,,,,,err,Not Democracy,8.481504395854577,3.986446951,High Material Use,1707,1776,1807,Standardized [1],Design-Intensive [2],Firms [1],1183350,Low,30.0,Decades,Yes,Yes,Yes,Transportation,Performing Operations; Transporting,Cumulative Calculation,-,1837,Late
2118,Steamships_Total Number_FR,Steamships,FRA,France,0.12630377380805552,-4.9990441289567845e+180,0.11019065743861772,1872.8936363826604,0.9988384573888984,0.03332987598558207,0.999774147700106,39.8804150625963,1838,42,,,,,,,-3.392857142857143,,,2723.972222222222,,,,,,,err,Not Democracy,7.909846469795317,3.986446951,High Material Use,1707,1776,1807,Standardized [1],Design-Intensive [2],Firms [1],1183350,Low,30.0,Decades,Yes,Yes,Yes,Transportation,Performing Operations; Transporting,Cumulative Calculation,-,1838,Late
23,Railroad_Total Length_RU,Railroad,RUS,Russia,0.05421540974276164,-1.2151397250970486e+66,0.04118919478737319,1928.182260485404,0.987842133460284,0.02208391047548508,0.9904582370033956,106.68936786352486,1838,148,,,,,,,-8.833333333333334,,,,,,,,,,err,Not Democracy,,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55.0,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers,1838,Late
52,Postal Traffic_Total Number_GB,Postal Traffic,GBR,United Kingdom,0.06002218540363113,-4.468931334852288e+75,0.035531862320494614,1974.0677350325323,0.9984769729285778,0.010247375781283246,0.9996091842326904,123.67629692569594,1839,155,7.1875,,23.716587800000003,9.555758153846153,695379176.0542572,,7.117647058823529,,,8409.941176470587,1.2194200000000002,,0.0,,,,err,Democracy,9.037169758468169,,Medium Material Use,,,1830,Customized [3],Complex [3],Both [3],Expensive,Low,,Years,No,No,Yes,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1839,Late
281,Steamships_Total Number_FI,Steamships,FIN,Finland,0.0697169148093808,-4.365609633858399e+86,0.07442274757603995,1923.3484630312062,0.999275204084649,0.0421840089071372,0.999126877091371,59.04712332989989,1839,136,,,,,,,9.428571428571429,,,2285.3230769230768,,,,,,,err,Democracy,7.73426268367196,3.986446951,High Material Use,1707,1776,1807,Standardized [1],Design-Intensive [2],Firms [1],1183350,Low,30.0,Decades,Yes,Yes,Yes,Transportation,Performing Operations; Transporting,Cumulative Calculation,-,1839,Late
7,Railroad_Total Length_IT,Railroad,ITA,Italy,0.048405450181824156,-5.329119155412228e+55,0.0838308901333535,1882.3402343395983,0.9825378867253558,0.057933193916341344,0.980300405978422,52.42040431256301,1839,159,,,,,,,-4.0,,,2653.022284090909,,,,,,,err,Not Democracy,7.883454753684412,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55.0,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers,1839,Late
22,Railroad_Total Length_NL,Railroad,NLD,Netherlands,0.03304340954481872,-1.9417517081757662e+26,0.1066392752507943,1875.4823592285081,0.9544834168660924,0.07758421075804908,0.9516784789426432,41.208542953218426,1839,147,,,,,,,-3.972972972972973,,,3910.432432432433,,,,,,,err,Not Democracy,8.2714032433941,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55.0,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers,1839,Late
48,Postal Traffic_Total Number_BR,Postal Traffic,BRA,Brazil,0.0856418274440745,-2.291678726160797e+122,0.08114477043155627,1967.089249564227,0.9906027127379972,0.04045515530980622,0.9932242964148388,54.15566685691785,1840,159,,,6.2167512375,6.503251766666668,,,-3.5081967213114753,,,1459.2881355932204,0.11287375,,2.0,,,,err,Not Democracy,7.2857040174365935,,Medium Material Use,,,1830,Customized [3],Complex [3],Both [3],Expensive,Low,,Years,No,No,Yes,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1840,Late
127,Postal Traffic_Total Number_GR,Postal Traffic,GRC,Greece,0.06599661366516849,-1.6389008163830238e+87,0.04346542157651197,2019.0479420581194,0.9983799937867884,0.003490943709577853,0.9984628093488268,101.10218641125824,1840,151,,0.7450135,24.94477258333334,2.8400907913793105,-811967014.2428215,11.48706823076923,5.562874251497006,7.298333,7.735833,7164.339896089385,1.130107142857143,0.5057089166666668,0.0,,,,H,Not Democracy,8.876871207070392,,Medium Material Use,,,1830,Customized [3],Complex [3],Both [3],Expensive,Low,,Years,No,No,Yes,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1840,Late
72,Railroad_Total Length_IE,Railroad,IRL,Ireland,0.03200737779840122,-1.4956838720308783e+27,-0.08514855295620567,1984.6510418762011,0.2111948435891449,0.11114845851348702,0.397112538938888,-51.609205348828766,1840,138,,,50.1189294375,2.48483954347826,,,9.23076923076923,,,7195.462686567164,1.223084615384615,,1.0,,,,err,Democracy,8.881205923934516,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55.0,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers,1840,Late
58,Beer_Annual Production_AT,Beer Production,AUT,Austria,0.010145767759933736,0.0345905985893735,-5.512313709064374,1916.580004112903,-0.3530445977956924,-0.013323165113513632,0.0362698281798037,-0.7972059259701179,1841,149,,,,,,,-4.883116883116883,,,4062.26,,,,,,,err,Not Democracy,8.309494747969806,0.156463688,Medium Material Use,,,n/d,Mass-customized [2],Design-Intensive [2],Individuals [2],Expensive,Low,14.0,Years,No,No,No,Food and Health,Human Necessities,Annual Production,thousand hectolitres,1841,Late
66,Steamships_Total Number_DK,Steamships,DNK,Denmark,0.05620998997826136,-3.535183165882949e+66,0.06918267407230998,1917.2900386659155,0.9996466474349984,0.042265736228023404,0.9974946581202586,63.51950417642639,1844,148,,,,,,,-1.3,,,3879.108108108108,,,,,,,err,Not Democracy,8.26336053714908,3.986446951,High Material Use,1707,1776,1807,Standardized [1],Design-Intensive [2],Firms [1],1183350,Low,30.0,Decades,Yes,Yes,Yes,Transportation,Performing Operations; Transporting,Cumulative Calculation,-,1844,Late
288,Postal Traffic_Total Number_FI,Postal Traffic,FIN,Finland,0.07697550782262415,-8.440714650402208e+103,0.04854187194233256,2028.1450853011063,0.9994462176042762,0.002276487797396435,0.9994118720194798,90.52904181142864,1845,149,,3.1371447999999997,31.28103132075471,5.293875163333334,813811139.1423832,12.229464333333334,9.188118811881187,6.6439843,6.535503,11577.562610625002,2.142732142857142,2.053784956521739,1.0,,,,H,Democracy,9.35682424629753,,Medium Material Use,,,1830,Customized [3],Complex [3],Both [3],Expensive,Low,,Years,No,No,Yes,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1845,Late
97,Postal Traffic_Total Number_ES,Postal Traffic,ESP,Spain,0.06341258469766646,-1.0544872338095215e+81,0.04061057731489873,2090.5011314221592,0.9967485286523288,err,0.937673250645597,108.20947263559968,1846,145,,1.1313912,23.949552735849057,4.787419296721311,4995426424.8108015,6.959437993333334,1.7439024390243902,6.52973055,6.759508,8643.515465680473,1.3770607142857143,1.1954035730434782,0.0,,,,H,Not Democracy,9.06456466164573,,Medium Material Use,,,1830,Customized [3],Complex [3],Both [3],Expensive,Low,,Years,No,No,Yes,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1846,Late
2907,Steamships_Total Number_NL,Steamships,NLD,Netherlands,0.17113832793800873,-7.499879657179787e+253,0.1337346679509193,1874.3159822118412,0.9940298687034512,0.04360033452881709,0.997134673979726,32.859461364836264,1846,34,,,,,,,-3.310344827586207,,,3969.034482758621,,,,,,,err,Not Democracy,8.286278140767148,3.986446951,High Material Use,1707,1776,1807,Standardized [1],Design-Intensive [2],Firms [1],1183350,Low,30.0,Decades,Yes,Yes,Yes,Transportation,Performing Operations; Transporting,Cumulative Calculation,-,1846,Late
21,Railroad_Total Length_CH,Railroad,CHE,Switzerland,0.036900563208118554,-6.296445346884777e+33,0.0760875314271008,1884.634041189536,0.985529708702518,0.05215370776036565,0.9829967961552364,57.75518106909206,1847,142,,,,,,,10.0,,,3168.682331428572,,,,,,,err,Democracy,8.06107111213824,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55.0,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers,1847,Late
4,Railroad_Total Length_DK,Railroad,DNK,Denmark,0.028239483906676844,-2.667193558009122e+17,0.1050770978243002,1886.324025572369,0.7311647163172377,0.07903426757379396,0.721582383590095,41.82118887619463,1847,153,,,,,,,-0.975,,,3068.875,,,,,,,err,Not Democracy,8.029066323910813,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55.0,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers,1847,Late
11,Railroad_Total Length_ES,Railroad,ESP,Spain,0.04187619055883329,-2.1347323236463304e+44,0.0799633877562958,1882.9591329544364,0.9737988392847238,-1.9901648890197676,0.0,54.95576510671847,1848,145,,,,,,,-2.6774193548387095,,,2049.5882352941176,,,,,,,err,Not Democracy,7.625394191125077,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55.0,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers,1848,Late
59,Railroad_Total Length_GY,Railroad,GUY,Guyana,err,,0.30816357375710635,1895.0656449373016,0.7591810247362809,0.41010613011092867,0.7487915246318008,14.260118745040682,1848,127,,,,,,,,,,,,,,,,,err,,,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55.0,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers,1848,Late
138,Postal Traffic_Total Number_NO,Postal Traffic,NOR,Norway,0.073821179624155,-1.5519595254067778e+101,err,err,,err,0.9574934555013538,err,1848,146,,,,,,,,,,,,,,,,,,,,,Medium Material Use,,,1830,Customized [3],Complex [3],Both [3],Expensive,Low,,Years,No,No,Yes,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1848,Late
122,Postal Traffic_Total Number_NL,Postal Traffic,NLD,Netherlands,0.0701101939663506,-9.17547491904468e+92,0.03724929781848609,2016.2514904370928,0.997907076300223,0.004299009053191063,0.9984217338358352,117.97401325754818,1849,141,3.155833293333333,1.8455190476190475,52.68326454166667,3.565181454545455,13719976415.215254,25.873049700000003,4.748466257668712,7.152997,7.3128285,13857.305717261905,2.0478750000000003,1.862920711111111,0.0,,,,H,Not Democracy,9.53656786115324,,Medium Material Use,,,1830,Customized [3],Complex [3],Both [3],Expensive,Low,,Years,No,No,Yes,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1849,Late
100,Postal Traffic_Total Number_HU,Postal Traffic,HUN,Hungary,0.07113832617349264,-3.267647464399974e+97,0.02936215586875965,2014.3822154640654,0.9877234491983616,0.005503669653900125,0.9897179069403684,149.6637091061827,1849,145,16.483996874074077,0.9667468421052632,60.21506304166666,3.405845970833333,-2516316865.1161604,23.259359125,-1.8439716312056735,4.8857994,6.9880834,8472.46984787234,1.1520345454545455,0.76926018625,3.0,,,,H,Not Democracy,9.044577344651898,,Medium Material Use,,,1830,Customized [3],Complex [3],Both [3],Expensive,Low,,Years,No,No,Yes,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1849,Late
71,Postal Traffic_Total Number_CH,Postal Traffic,CHE,Switzerland,0.06380324046901004,-1.931436414704983e+83,0.03442689888243884,2042.2208446624354,0.9989713279837332,0.002505950512869389,0.9992375472071144,127.64580305878341,1850,144,2.7166143533333336,2.7430462500000004,47.957706511627904,3.565822765573771,16527484452.621365,21.7986184,10.0,,,17157.5742875,1.859157142857143,1.9562472173913048,2.0,,,,H,Democracy,9.750195004512598,,Medium Material Use,,,1830,Customized [3],Complex [3],Both [3],Expensive,Low,,Years,No,No,Yes,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1850,Late
131,Telegraph Traffic_Total Number_DE,Telegraph Traffic,DEU,Germany,0.07880766334401933,-1.7160073817913277e+109,0.06399672484752283,1917.8134966563964,0.9944184489643344,0.03797565628158353,0.9976874426800482,68.66678201333826,1850,142,,,,,,,-2.671875,,,3699.014492753623,,,,,,,err,Not Democracy,8.21582170984414,0.029545188,Low Material Use,1837,1837,1845,Customized [3],Complex [3],Both [3],858000,Low,,Decades,No,Yes,No,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1850,Early
119,Postal Traffic_Total Number_DE,Postal Traffic,DEU,Germany,0.06265370085730612,-2.4621294022608997e+81,0.0313368534419494,2002.6054533841257,0.9908986058176132,0.006929039792838397,0.993337646684808,140.2326229981267,1850,145,,2.32773375,22.46553788235294,6.403546033333335,5652285889.936114,,-0.5288461538461539,,,10004.608937012988,1.941857142857143,1.6717099000000002,0.0,,,,H,Not Democracy,9.210801159498605,,Medium Material Use,,,1830,Customized [3],Complex [3],Both [3],Expensive,Low,,Years,No,No,Yes,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1850,Late
73,Postal Traffic_Total Number_SE,Postal Traffic,SWE,Sweden,0.0708872402888201,-1.4787171950104708e+95,0.04391456427702112,2014.2891728864217,0.9994603563555288,0.004990466041094891,0.9998005085982736,100.06814884810079,1850,144,7.36083556,3.3567286666666667,29.599372581818173,4.312825337735849,3709896935.561945,18.09918575,4.658064516129032,7.2700985,7.05011985,12423.830073333333,2.309963636363636,1.9203800875,0.0,,,,H,Not Democracy,9.427371687443724,,Medium Material Use,,,1830,Customized [3],Complex [3],Both [3],Expensive,Low,,Years,No,No,Yes,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1850,Late
445,Steamships_Total Number_DE,Steamships,DEU,Germany,0.041382857724574014,-7.692120813893316e+42,0.014458478522950152,2050.127396524625,0.8595151672185417,0.0036130281509968555,0.8611210381301917,303.9357943297468,1850,146,,2.6504792000000004,28.200487,5.7876414098360645,24001779463.93347,16.455022999999997,0.7983193277310925,7.287553699999999,5.543578,12814.329978698226,1.9883076923076923,1.5736519173913042,0.0,,,,H,Not Democracy,9.458319353287589,3.986446951,High Material Use,1707,1776,1807,Standardized [1],Design-Intensive [2],Firms [1],1183350,Low,30.0,Decades,Yes,Yes,Yes,Transportation,Performing Operations; Transporting,Cumulative Calculation,-,1850,Late
45,Railroad_Total Length_MX,Railroad,MEX,Mexico,0.051181511689189975,-8.025325403948169e+59,0.10245220443527456,1897.7982519348166,0.9857560721681736,0.06422914748779307,0.9908813389222858,42.89267545676566,1850,133,,,,,,,-6.0,,,1496.0,,,,,,,err,Not Democracy,7.310550158534422,0.081088492,Low Material Use,,,1825,Customized [3],Design-Intensive [2],Firms [1],29520,Low,55.0,Decades,No,Yes,Yes,Infrastructure,Fixed Constructions,Total Length,kilometers,1850,Late
172,Steamships_Total Number_ES,Steamships,ESP,Spain,0.057027109881597475,-2.160106766119093e+69,0.03632850910264993,1959.318990524462,0.994924817781928,0.013475322931653141,0.9980751039181048,120.96420313466407,1850,143,,,,,,,-0.0673076923076923,,,2876.181818181818,,,4.0,,,,err,Not Democracy,7.964218935960155,3.986446951,High Material Use,1707,1776,1807,Standardized [1],Design-Intensive [2],Firms [1],1183350,Low,30.0,Decades,Yes,Yes,Yes,Transportation,Performing Operations; Transporting,Cumulative Calculation,-,1850,Late
101,Postal Traffic_Total Number_BE,Postal Traffic,BEL,Belgium,0.06216866407032072,-1.5003888361370813e+79,0.03751134445008641,1990.7454352940356,0.9987028566767762,0.007588435584308836,0.99895113008979,117.1498707682901,1850,143,,,52.92043318181818,9.412959892307692,,,6.313868613138686,,,9106.882423943664,1.8870312499999995,,0.0,,,,H,Democracy,9.116785716969892,,Medium Material Use,,,1830,Customized [3],Complex [3],Both [3],Expensive,Low,,Years,No,No,Yes,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1850,Late
77,Postal Traffic_Total Number_AU,Postal Traffic,AUS,Australia,0.07246311350066438,-3.4360796403734647e+96,0.03815384601908209,1999.4023222616026,0.9982417848474404,0.007111311079046139,0.999222871372493,115.17709518654083,1851,143,9.293593775000002,1.58888,15.678077875000003,1.814175281081081,-3521048493.0492344,,10.0,,,11738.96500134228,2.065925,1.70934125,0.0,,,,H,Democracy,9.370668929473812,,Medium Material Use,,,1830,Customized [3],Complex [3],Both [3],Expensive,Low,,Years,No,No,Yes,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1851,Late
65,Telegraph Traffic_Total Number_AT,Telegraph Traffic,AUT,Austria,0.06355162839805681,-2.6511995274145938e+82,0.08026152362746461,1906.0050378804806,0.9879020058362744,0.04903716277199049,0.9913949938040776,54.75162887598993,1851,143,,,,,,,-4.357142857142857,,,3837.0,,,,,,,err,Not Democracy,8.252446090246952,0.029545188,Low Material Use,1837,1837,1845,Customized [3],Complex [3],Both [3],858000,Low,,Decades,No,Yes,No,Infrastructure,Performing Operations; Transporting,Cumulative Calculation,Number (millions),1851,Late
